wellName,DEPTH,Gamma,Porosity,Fluvialfacies
B4,1905.6063,82.983086,0.217632,1
B4,1906.1063,77.562347,0.215773,1
B4,1906.6063,82.715469,0.208566,1
B4,1907.1063,87.681526,0.207036,1
B4,1907.6063,88.120476,0.207794,1
B4,1908.1063,88.181915,0.206927,1
B4,1908.6063,89.539459,0.205405,1
B4,1909.1063,88.43602,0.208869,1
B4,1909.6063,83.356316,0.214343,1
B4,1910.1063,81.297859,0.21249,1
B4,1910.6063,85.08287,0.207683,1
B4,1911.1063,87.91021,0.207515,1
B4,1911.6063,87.03688,0.209219,1
B4,1912.1063,87.735123,0.206287,1
B4,1912.6063,92.131325,0.201485,1
B4,1913.1063,94.506645,0.202108,1
B4,1913.6063,92.554588,0.204919,1
B4,1914.1063,88.46273,0.209307,1
B4,1914.6063,83.113358,0.214331,1
B4,1915.1063,82.371078,0.210613,1
B4,1915.6063,88.601196,0.20337,1
B4,1916.1063,93.476295,0.202036,1
B4,1916.6063,93.637772,0.203085,1
B4,1917.1063,91.766151,0.205329,1
B4,1917.6063,88.942551,0.208054,1
B4,1918.1063,87.440002,0.207973,1
B4,1918.6063,88.175262,0.20676,1
B4,1919.1063,87.110718,0.209845,1
B4,1919.6063,82.61792,0.214665,1
B4,1920.1063,76.737305,0.220192,1
B4,1920.6063,70.291801,0.226005,1
B4,1921.1063,69.67691,0.221274,1
B4,1921.6063,77.472023,0.21229,1
B4,1922.1063,84.811249,0.208361,1
B4,1922.6063,88.118813,0.20647,1
B4,1923.1063,87.304276,0.209794,1
B4,1923.6063,82.331146,0.21522,1
B4,1924.1063,78.992889,0.215668,1
B4,1924.6063,79.626122,0.214107,1
B4,1925.1063,78.296509,0.218007,1
B4,1925.6063,72.610641,0.22411,1
B4,1926.1063,69.185158,0.224034,1
B4,1926.6063,70.688622,0.221465,2
B4,1927.1063,75.500122,0.215569,2
B4,1927.6063,82.965897,0.20833,2
B4,1928.1063,89.080124,0.204811,2
B4,1928.6063,92.22718,0.202792,2
B4,1929.1063,86.938728,0.219128,2
B4,1929.6063,71.009277,0.242867,2
B4,1930.1063,64.603508,0.234442,2
B4,1930.6063,75.854156,0.213046,2
B4,1931.1063,84.36541,0.210411,2
B4,1931.6063,81.911301,0.215343,2
B4,1932.1063,80.888489,0.212211,2
B4,1932.6063,86.296722,0.205827,2
B4,1933.1063,88.388588,0.20853,2
B4,1933.6063,83.23278,0.214898,2
B4,1934.1063,81.510727,0.21156,2
B4,1934.6063,87.530434,0.204307,2
B4,1935.1063,92.054771,0.203599,2
B4,1935.6063,91.358231,0.205532,2
B4,1936.1063,88.962898,0.207814,1
B4,1936.6063,86.289307,0.210237,1
B4,1937.1063,84.866653,0.210317,1
B4,1937.6063,85.311684,0.209453,1
B4,1938.1063,83.773857,0.213023,1
B4,1938.6063,78.700188,0.21838,1
B4,1939.1063,77.639915,0.214888,1
B4,1939.6063,83.637756,0.207827,1
B4,1940.1063,85.958946,0.210804,1
B4,1940.6063,80.273979,0.21783,1
B4,1941.1063,75.443642,0.219303,1
B4,1941.6063,75.041611,0.218537,1
B4,1942.1063,75.412598,0.218651,1
B4,1942.6063,75.082336,0.219118,1
B4,1943.1063,71.367126,0.220693,1
B4,1943.6063,63.184582,0.222713,1
B4,1944.1063,59.039036,0.224361,1
B4,1944.6063,62.360424,0.225859,1
B4,1945.1063,70.388435,0.218356,1
B4,1945.6063,82.009811,0.207224,1
B4,1946.1063,93.493958,0.198151,1
B4,1946.6063,103.33629,0.189907,1
B4,1947.1063,105.88451,0.193667,1
B4,1947.6063,98.858971,0.202268,1
B4,1948.1063,94.852356,0.200716,1
B4,1948.6063,98.943512,0.19507,1
B4,1949.1063,99.304047,0.200082,1
B4,1949.6063,91.163361,0.209393,1
B4,1950.1063,79.045464,0.227395,1
B4,1950.6063,64.77494,0.248901,1
B4,1951.1063,63.510574,0.234452,1
B4,1951.6063,81.366135,0.205501,1
B4,1952.1063,94.679985,0.200202,1
B4,1952.6063,93.908997,0.204442,1
B4,1953.1063,88.988182,0.20886,1
B4,1953.6063,83.924477,0.213351,1
B4,1954.1063,84.73616,0.207432,1
B4,1954.6063,93.85051,0.197315,1
B4,1955.1063,95.075996,0.205276,1
B4,1955.6063,81.882339,0.220528,1
B4,1956.1063,74.714912,0.217887,1
B4,1956.6063,81.819695,0.208028,1
B4,1957.1063,88.691795,0.205796,1
B4,1957.6063,89.481194,0.206639,1
B4,1958.1063,89.391205,0.205954,1
B4,1958.6063,90.520409,0.204652,1
B4,1959.1063,91.835197,0.203641,1
B4,1959.6063,92.918694,0.202746,1
B4,1960.1063,91.940086,0.205363,1
B4,1960.6063,88.161011,0.209395,1
B4,1961.1063,84.952988,0.211007,1
B4,1961.6063,83.675812,0.211642,1
