Gamma,Porosity,Fluvialfacies
79.7467,0.124401,0
82.3897,0.124574,0
79.3443,0.127447,0
75.7206,0.129114,0
75.4764,0.129177,0
75.5759,0.13866,0
68.5327,0.158685,0
60.7633,0.159024,0
70.8101,0.136603,1
82.6684,0.124235,1
81.3848,0.125257,0
78.7651,0.131161,0
71.5002,0.14108,0
63.763,0.152014,0
60.5697,0.163658,1
57.8385,0.15961,1
68.1513,0.138204,0
79.7904,0.128659,0
71.6001,0.133946,0
61.3935,,0
